fb_row_id,fb_venue_name,fb_city,fb_day_of_week,fb_start_time,fb_signup_time,fb_frequency,classification,matched_event_id,matched_venue_id,match_tier,conflict_fields,notes
FB-001,Cactus Jack's,Evergreen,Thu,Unknown,~7:30 PM,Weekly,EXACT_MATCH,53adde01-d94d-4625-a842-cf2b37c60fc1,9fe9ff83-b8cf-4881-b36c-d7a27c972c87,3,,Venue+day match; DB has start=20:00 signup=19:30
FB-002,Node Arts Collective – Comedy,—,—,6 PM,Google Form,Unknown,PROBABLE_MATCH,34f74376-e042-4b10-a7af-ed1a9f128f39,efc7b88e-372e-46ae-a313-ca04b89b99bd,3,day_of_week,DB has Friday; FB has no day specified; Comedy vs general unclear
FB-003,Joe Willy's on Broadway,Denver,—,8:30 PM,8 PM,Unclear,NET_NEW,,,none,,No matching venue found in DB
FB-004,Kava Community Tea / Karma,Lakewood,Every other Wed,9 PM,—,Bi-weekly,PROBABLE_MATCH,2b931ee3-935e-4dc3-8e2a-ff466afc65eb,6e5ba2a0-18fb-444b-91c9-76f436355569,3,city,DB Karma House is Denver not Lakewood; multiple Kava venues exist
FB-005,Atom's Open Mic – Stagecoach,Franktown,Wed,7 PM,6 PM,Weekly,NET_NEW,,,none,,No matching venue found in DB; Franktown not in venue list
FB-006,Vintage Himalayan Open Mic,Denver,Fri,7 PM,6:30 PM,Weekly,NET_NEW,,,none,,No matching venue found in DB
FB-007,Mutiny Comedy Open Mic,Englewood,Wed,6 PM,—,Weekly,NET_NEW,,,none,,No matching venue found in DB
FB-008,Two Moons Music Hall,Denver,1st Wed,6:30 PM,6 PM,Monthly?,EXACT_MATCH,aad664c0-c3b7-4a2c-9e15-95a49e935da4,5dc9671a-fb5a-4d33-a66d-d0fb26cab8e6,3,,Venue+day match; DB start=18:30 matches FB 6:30PM
FB-009,Long Table Brewhouse,Denver,Mon,6 PM,5:30 PM,Weekly,EXACT_MATCH,30f44c67-5958-4ca7-a1ae-1d230b600e17,56faadb7-a369-412d-9778-0e86b6113746,3,,Venue+day match; times align (18:00/17:30)
FB-010,Node Arts – Music & Poetry,Westminster,2nd & 4th Fri,—,6 PM,Bi-monthly,EXACT_MATCH,34f74376-e042-4b10-a7af-ed1a9f128f39,efc7b88e-372e-46ae-a313-ca04b89b99bd,3,,Same venue as FB-002; Friday matches DB
FB-011,Stolly's Café,Golden,2nd Wed,6 PM,In-person / QR,Monthly,EXACT_MATCH,b2c01b7d-d024-4818-98e3-1f249de22859,22cc9b3c-1905-475d-9489-5e5dd091225e,3,,Scully's matches Stolly's (likely typo/alias); day+city match
FB-012,Lincoln's Roadhouse,Denver,Wed,7 PM,Call 4 PM,Weekly,EXACT_MATCH,a08da896-2673-46cd-9aa3-d69bcfc457c5,ef1bc0ab-1ef9-417f-8a14-fdbdafcfece8,3,,CANONICAL anchor; do not override; FB confirms existing data
FB-013,Full House Bar & Grill,Englewood,Mon,7 PM,—,Weekly,EXACT_MATCH,d0eef26a-3595-4318-ba97-b839ee17e1a5,58707224-a6a5-4037-8d9c-a25bfe287698,3,,Venue+day match; DB missing start_time - FB can fill
