ID,Venue,Area,Day(s),Start,Signup,Host(s),Frequency,Status
FB-001,Cactus Jack’s,Evergreen,Thu,Unknown,~7:30 PM,—,Weekly,Active
FB-002,Node Arts Collective – Comedy,—,—,6 PM,Google Form,—,Unknown,Possibly
FB-003,Joe Willy’s on Broadway,Denver,—,8:30 PM,8 PM,Jack Comstock,Unclear,Active
FB-004,Kava Community Tea / Karma,Lakewood,Every other Wed,9 PM,—,—,Bi-weekly,Possibly
FB-005,Atom’s Open Mic – Stagecoach,Franktown,Wed,7 PM,6 PM,Atom Creech,Weekly,Active
FB-006,Vintage Himalayan Open Mic,Denver,Fri,7 PM,6:30 PM,Rascals! CBC,Weekly,Active
FB-007,Mutiny Comedy Open Mic,Englewood,Wed,6 PM,—,Jennifer Sutherland,Weekly,Possibly
FB-008,Two Moons Music Hall,Denver,1st Wed,6:30 PM,6 PM,—,Monthly?,Possibly
FB-009,Long Table Brewhouse,Denver,Mon,6 PM,5:30 PM,Jeremy Naberhaus,Weekly,Active
FB-010,Node Arts – Music & Poetry,Westminster,2nd & 4th Fri,—,6 PM,—,Bi-monthly,Active
FB-011,Stolly’s Café,Golden,2nd Wed,6 PM,In-person / QR,Ben Rafferty,Monthly,Active
FB-012,Lincoln’s Roadhouse,Denver,Wed,7 PM,Call 4 PM,John Weeks,Weekly,Active
FB-013,Full House Bar & Grill,Englewood,Mon,7 PM,—,—,Weekly,Possibly
FB-014,Crazy Mountain Taproom,Denver,Fri,7 PM,6:30 PM,—,Weekly,Active
FB-015,Fellow Traveler,Englewood,Sun,6 PM,—,—,Weekly,Possibly
FB-016,Eastfax Tap,Denver,Sun,8 PM,Seating 7:30,—,Weekly,Possibly
FB-017,VR Social Bar – Comic Cents,Edgewater,Thu,7:30 PM,5 PM (DM),Michael Deeble,Weekly,Active
FB-018,City O City,Denver,Tue / Thu (conflict),6 PM,5 PM / —,Chase Cavanaugh,Unknown,Possibly
FB-019,Lion’s Lair,Denver,Mon,10:30 PM,10 PM,—,Weekly,Active
FB-020,Scruffy Murphy’s,Denver,Tue,9 PM,8:45 PM,—,Weekly?,Possibly
FB-021,Pete’s Satire Lounge,Denver,Mon,8 PM,7:30 PM,Orin Belinsky,Weekly,Active
FB-022,Knotted Root – Colfax,Denver,Tue,~6:30 PM,—,—,Weekly,Possibly
FB-023,Fraco’s Bar (Open Stage),Littleton,Wed,7 PM,Online,—,Weekly,Possibly
FB-024,Second Dawn Brewing,Aurora,1st Fri,6 PM,—,—,Monthly,Possibly
FB-025,Goosetown Tavern,Denver,—,—,7 PM,Wagner Sanchez,Unknown,Possibly
FB-026,Dry Dock Brewing (general),Aurora,—,6–9 PM,Message host,—,Unknown,Possibly
FB-027,Dry Dock Brewing Taproom,Aurora,Monthly,—,5:30 PM,—,Monthly,Possibly
FB-028,Velvet Banjo,Denver,Wed,7:30 PM–1 AM,—,Dathon McKee,Weekly,Possibly
FB-029,Wild Sky Brewery – County Line,Broomfield,Last Wed,—,—,Lindsey Giffey,Monthly,Possibly
FB-030,Wild Sky Brewery – Littleton,Littleton,3rd Thu,—,—,Lindsey Giffey,Monthly,Possibly
FB-031,Lone Tree Brewing Co.,Lone Tree,4th Sat,—,—,Lindsey Giffey,Monthly,Possibly
FB-032,Fellow Traveler (update),Englewood,Sun,~6 PM,5:30 PM,—,Weekly,Possibly
FB-033,Second Dawn – Central Park,Denver,Fri,—,5:30 PM,Mario & Brandi,Monthly?,Possibly
FB-034,Velvet Banjo (alt listing),Denver,Thu,—,7:30 PM,—,Weekly,Possibly
